player_id,fifa_version,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231747,24,K. Mbappé,Kylian Mbappé Lottin,"ST, LW",91,94,181500000,230000,24,12/20/1998,182,75,73,Paris Saint Germain,16,Ligue 1,1,LW,7,,7/1/2018,2024,18,France,1335,LW,10,Right,4,5,5,High/Low,Unique,Yes,349400000,"#Speedster, #Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Quick Step +, Rapid, Flair, Trivela",97,90,80,92,36,78,78,94,73,86,84,93,80,69,71,92,97,97,93,93,82,90,88,88,77,83,64,38,93,83,84,88,26,34,32,13,5,7,11,6,,90+3,90+3,90+3,91,91,91,91,91,89+3,89+3,89+3,89+3,81+3,81+3,81+3,89+3,68+3,63+3,63+3,63+3,68+3,63+3,54+3,54+3,54+3,63+3,18+3
239085,24,E. Haaland,Erling Braut Haaland,ST,91,94,185000000,340000,22,7/21/2000,195,94,10,Manchester City,13,Premier League,1,ST,9,,7/1/2022,2027,36,Norway,1352,ST,9,Left,3,3,5,High/Medium,Unique,Yes,356100000,"#Aerial threat, #Distance shooter, #Strength, #Clinical finisher, #Complete forward","Acrobatic +, Power Header, Quick Step",89,93,66,80,45,88,47,96,83,77,90,79,77,62,53,82,82,94,76,94,72,94,93,76,93,86,87,43,96,74,84,87,38,47,29,7,14,13,11,7,,90+3,90+3,90+3,82,86,86,86,82,82+3,82+3,82+3,79+3,74+3,74+3,74+3,79+3,62+3,63+3,63+3,63+3,62+3,60+3,62+3,62+3,62+3,60+3,19+3
192985,24,K. De Bruyne,Kevin De Bruyne,"CM, CAM",91,91,103000000,350000,32,6/28/1991,181,75,10,Manchester City,13,Premier League,1,SUB,17,,8/30/2015,2025,7,Belgium,1325,CAM,7,Right,5,4,5,High/Medium,Unique,Yes,190600000,"#Dribbler, #Playmaker, #Distance shooter, #Crosser, #Complete midfielder","Pinged Pass +, Dead Ball, Incisive Pass, Long Ball Pass, Whipped Cross, Trivela",72,88,94,87,65,78,95,85,55,94,83,86,92,83,94,92,72,72,74,92,78,92,72,88,74,92,75,66,88,95,83,88,66,70,53,15,13,5,10,13,,83+3,83+3,83+3,87,88,88,88,87,89+2,89+2,89+2,88+3,90+1,90+1,90+1,88+3,79+3,80+3,80+3,80+3,79+3,75+3,70+3,70+3,70+3,75+3,21+3
158023,24,L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,90,41000000,23000,36,6/24/1987,169,67,112893,Inter Miami,39,Major League Soccer,1,RF,10,,7/16/2023,2025,52,Argentina,1369,RW,10,Left,4,4,5,Low/Low,Unique,Yes,61500000,"#Dribbler, #Playmaker, #FK Specialist, #Acrobat, #Clinical finisher, #Complete midfielder, #Complete forward","Technical +, Finesse Shot, Dead Ball, Pinged Pass, Tiki Taka, Quick Step, Trivela",80,87,90,94,33,64,83,89,60,91,86,96,93,93,90,93,87,74,91,88,95,83,71,70,68,90,44,40,91,92,75,96,20,35,24,6,11,15,14,8,,85+3,85+3,85+3,90,89,89,89,90,91-1,91-1,91-1,89+1,85+3,85+3,85+3,89+1,64+3,63+3,63+3,63+3,64+3,59+3,49+3,49+3,49+3,59+3,19+3
165153,24,K. Benzema,Karim Benzema,"CF, ST",90,90,51000000,95000,35,12/19/1987,185,81,607,Al Ittihad,350,Pro League,1,RS,9,,7/1/2023,2026,18,France,,,,Right,4,4,5,Medium/Medium,Normal (170-185),Yes,81600000,"#Poacher, #Aerial threat, #Clinical finisher, #Complete forward","Finesse Shot +, Dead Ball, Pinged Pass, Tiki Taka, First Touch, Relentless, Trivela",79,88,83,87,39,78,75,91,90,89,88,87,82,73,76,91,78,79,77,92,72,87,85,82,82,81,63,39,92,90,85,90,43,24,18,13,11,5,5,7,,88+2,88+2,88+2,86,89,89,89,86,88+2,88+2,88+2,86+3,82+3,82+3,82+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
188545,24,R. Lewandowski,Robert Lewandowski,ST,90,90,58000000,340000,34,8/21/1988,185,81,241,FC Barcelona,53,La Liga,1,ST,9,,7/18/2022,2026,37,Poland,1353,RS,9,Right,4,4,5,High/Medium,Unique,Yes,118900000,"#Aerial threat, #Dribbler, #Distance shooter, #Clinical finisher, #Complete forward","Power Header +, Finesse Shot, Chip Shot, Power Shot, Pinged Pass, First Touch, Trivela",75,91,80,87,44,84,76,93,91,84,89,86,79,85,70,90,76,75,77,93,83,91,92,76,89,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,,89+1,89+1,89+1,85,88,88,88,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,65+3,66+3,66+3,66+3,65+3,61+3,61+3,61+3,61+3,61+3,19+3
192119,24,T. Courtois,Thibaut Nicolas Marc Courtois,GK,90,90,63000000,250000,31,5/11/1992,199,96,243,Real Madrid,53,La Liga,1,SUB,1,,8/9/2018,2026,7,Belgium,1325,GK,1,Left,3,1,5,Medium/Medium,Unique,Yes,129200000,,Far Throw,,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,88,45,57,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,76,90,93,46,32+3,32+3,32+3,30,31,31,31,30,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,88+2
202126,24,H. Kane,Harry Kane,ST,90,90,119500000,170000,29,7/28/1993,188,85,21,FC Bayern München,19,Bundesliga,1,ST,9,,8/12/2023,2027,14,England,1318,ST,9,Right,5,3,5,High/High,Unique,Yes,197200000,"#Distance shooter, #Clinical finisher","Pinged Pass +, Long Ball Pass, First Touch, Trivela",69,93,84,83,49,83,80,95,89,87,89,82,82,65,88,87,67,71,66,93,73,93,87,83,84,87,80,42,94,87,92,92,46,46,38,8,10,11,14,11,,89+1,89+1,89+1,84,87,87,87,84,86+3,86+3,86+3,85+3,83+3,83+3,83+3,85+3,67+3,69+3,69+3,69+3,67+3,64+3,63+3,63+3,63+3,64+3,20+3
238794,24,Vini Jr.,Vinícius José Paixão de Oliveira Júnior,LW,89,94,158500000,310000,22,7/12/2000,176,73,243,Real Madrid,53,La Liga,1,SUB,7,,7/12/2018,2025,54,Brazil,,,,Right,4,5,5,High/High,Lean (170-185),Yes,336800000,"#Speedster, #Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Quick Step +, Finesse Shot, Chip Shot, Rapid, Flair, First Touch, Trivela",95,82,78,90,29,68,78,89,50,80,72,92,77,62,77,90,95,95,94,86,84,76,74,84,64,80,58,26,87,81,65,79,32,25,18,5,7,7,7,10,,82+3,82+3,82+3,88,86,86,86,88,86+3,86+3,86+3,86+3,78+3,78+3,78+3,86+3,62+3,58+3,58+3,58+3,62+3,57+3,45+3,45+3,45+3,57+3,16+3
212831,24,Alisson,Alisson Ramsés Becker,GK,89,90,77500000,180000,30,10/2/1992,193,91,9,Liverpool,13,Premier League,1,GK,1,,7/19/2018,2027,54,Brazil,,,,Right,3,1,5,Medium/Medium,Unique,Yes,149200000,,Far Throw,,,,,,,17,13,29,60,20,27,19,18,58,42,60,49,40,87,37,64,82,32,78,14,27,11,13,66,23,66,15,19,16,86,85,85,90,89,56,39+3,39+3,39+3,39,42,42,42,39,45+3,45+3,45+3,42+3,46+3,46+3,46+3,42+3,34+3,39+3,39+3,39+3,34+3,33+3,33+3,33+3,33+3,33+3,87+3
231866,24,Rodri,Rodrigo Hernández Cascante,"CDM, CM",89,90,105500000,250000,27,6/22/1996,191,82,10,Manchester City,13,Premier League,1,RCM,16,,7/4/2019,2027,45,Spain,1362,RCM,16,Right,4,3,4,Medium/High,Normal (185+),Yes,203100000,,"Power Shot +, Long Ball Pass, Bruiser",58,73,80,80,85,84,63,64,81,89,59,79,65,61,90,88,54,62,65,89,64,91,80,89,83,82,83,84,75,82,62,85,88,87,78,10,10,7,14,8,,77+3,77+3,77+3,76,79,79,79,76,80+3,80+3,80+3,78+3,85+3,85+3,85+3,78+3,80+3,87+3,87+3,87+3,80+3,80+3,84+3,84+3,84+3,80+3,19+3
239818,24,Rúben Dias,Rúben dos Santos Gato Alves Dias,CB,89,90,106500000,250000,26,5/14/1997,187,82,10,Manchester City,13,Premier League,1,LCB,3,,9/29/2020,2027,38,Portugal,1354,RCB,4,Right,4,2,4,Medium/High,Normal (185+),Yes,205000000,"#Tackling, #Tactician, #Strength, #Complete defender","Bruiser +, Power Header, Block, Aerial",62,39,66,69,89,87,54,29,87,83,32,64,46,48,76,75,54,69,60,89,56,74,84,78,90,26,93,86,39,51,45,81,91,91,87,7,8,13,7,12,,61+3,61+3,61+3,60,61,61,61,60,62+3,62+3,62+3,64+3,70+3,70+3,70+3,64+3,78+3,83+3,83+3,83+3,78+3,80+3,88+2,88+2,88+2,80+3,18+3
190871,24,Neymar Jr,Neymar da Silva Santos Júnior,LW,89,89,85500000,115000,31,2/5/1992,175,68,605,Al Hilal,350,Pro League,1,LM,10,,8/15/2023,2025,54,Brazil,,,,Right,5,5,5,High/Medium,Unique,Yes,136800000,"#Dribbler, #FK Specialist, #Acrobat","Trickster +, Pinged Pass, Technical, Flair, First Touch, Quick Step, Trivela",86,83,85,93,37,61,83,83,63,85,86,95,88,87,81,94,88,85,93,88,83,79,72,78,51,81,63,37,86,90,91,93,35,32,29,9,9,15,15,11,,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3
192448,24,M. ter Stegen,Marc-André ter Stegen,GK,89,89,54500000,220000,31,4/30/1992,187,85,241,FC Barcelona,53,La Liga,1,GK,1,,7/1/2014,2028,21,Germany,1337,GK,1,Right,4,1,5,Medium/Medium,Unique,Yes,111700000,,Footwork,,,,,,,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,67,72,35,78,10,43,22,11,70,25,70,25,13,10,86,85,89,86,91,47,35+3,35+3,35+3,35,38,38,38,35,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,87+2
200145,24,Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,89,72000000,240000,31,2/23/1992,185,84,11,Manchester United,13,Premier League,1,RCM,18,,8/19/2022,2026,54,Brazil,,,,Right,3,2,4,Medium/High,Unique,Yes,136800000,"#Tackling, #Tactician, #Strength, #Complete defender","Block +, Long Ball Pass, Slide Tackle",63,75,79,73,89,88,68,69,84,84,68,69,77,74,85,79,60,66,61,90,65,88,85,88,88,81,91,89,77,79,66,85,90,89,88,13,14,16,12,12,,78+3,78+3,78+3,74,77,77,77,74,77+3,77+3,77+3,76+3,82+3,82+3,82+3,76+3,82+3,87+2,87+2,87+2,82+3,83+3,87+2,87+2,87+2,83+3,21+3
203376,24,V. van Dijk,Virgil van Dijk,CB,89,89,70500000,220000,31,7/8/1991,193,92,9,Liverpool,13,Premier League,1,LCB,4,,1/1/2018,2025,34,Netherlands,105035,CB,4,Right,3,2,4,Medium/High,Unique,Yes,130400000,"#Tackling, #Tactician, #Strength, #Complete defender","Aerial +, Power Header, Long Ball Pass, Jockey, Block, Anticipate, Bruiser",78,60,71,72,89,86,53,52,86,79,45,70,60,70,86,76,66,87,59,88,50,81,89,72,93,64,85,88,47,65,62,89,90,91,86,13,10,13,11,11,,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3
209331,24,M. Salah,Mohamed Salah Ghaly,RW,89,89,85500000,260000,31,6/15/1992,175,71,9,Liverpool,13,Premier League,1,RW,11,,7/1/2017,2025,111,Egypt,,,,Left,3,4,5,High/Medium,Unique,Yes,158200000,"#Dribbler, #Acrobat, #Clinical finisher, #Complete forward","Finesse Shot +, Chip Shot, Rapid, Trivela",89,87,81,88,45,76,80,92,59,84,83,88,84,69,77,86,89,89,89,93,91,82,80,87,75,84,63,55,92,84,81,90,38,43,41,14,14,9,11,14,,85+3,85+3,85+3,88,87,87,87,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
239053,24,F. Valverde,Federico Santiago Valverde Dipetta,"CM, RW",88,92,130500000,270000,24,7/22/1998,182,78,243,Real Madrid,53,La Liga,1,RCM,15,,7/22/2016,2027,60,Uruguay,,,,Right,4,3,3,High/High,Unique,Yes,277300000,"#Playmaker, #Engine, #Distance shooter, #Complete midfielder","Power Shot, Long Ball Pass, Rapid, Relentless, Trivela",88,82,84,84,80,82,78,79,59,87,70,83,74,69,88,88,84,91,77,89,68,89,80,89,80,87,81,83,86,86,59,84,79,85,79,6,10,6,15,8,,82+3,82+3,82+3,85,85,85,85,85,86+3,86+3,86+3,85+3,87+3,87+3,87+3,85+3,84+3,85+3,85+3,85+3,84+3,83+3,80+3,80+3,80+3,83+3,18+3
232293,24,V. Osimhen,Victor James Osimhen,ST,88,91,126500000,120000,24,12/29/1998,185,78,48,Napoli,31,Serie A,1,ST,9,,9/1/2020,2025,133,Nigeria,,,,Right,4,3,3,High/Medium,Lean (185+),Yes,224500000,,"Chip Shot, Power Header, Rapid, Acrobatic",90,86,66,83,42,82,62,91,84,74,83,83,63,52,54,86,87,92,78,89,68,86,94,81,86,77,68,34,90,70,75,80,36,45,22,14,14,10,9,6,,87+3,87+3,87+3,82,85,85,85,82,81+3,81+3,81+3,80+3,73+3,73+3,73+3,80+3,62+3,60+3,60+3,60+3,62+3,60+3,57+3,57+3,57+3,60+3,19+3
210257,24,Ederson,Ederson Santana de Moraes,GK,88,89,70000000,210000,29,8/17/1993,188,86,10,Manchester City,13,Premier League,1,GK,31,,7/1/2017,2026,54,Brazil,,,,Left,3,1,3,Medium/Medium,Unique,Yes,134800000,,,,,,,,,20,14,14,61,18,23,15,20,65,40,64,63,60,87,48,68,79,44,78,18,38,27,20,70,51,70,29,15,8,86,82,91,86,86,64,39+3,39+3,39+3,41,43,43,43,41,47+3,47+3,47+3,45+3,49+3,49+3,49+3,45+3,38+3,44+3,44+3,44+3,38+3,36+3,35+3,35+3,35+3,36+3,86+3
212622,24,J. Kimmich,Joshua Walter Kimmich,"CDM, RB, CM",88,89,88000000,130000,28,2/8/1995,177,75,21,FC Bayern München,19,Bundesliga,1,RDM,6,,7/1/2015,2025,21,Germany,1337,RB,6,Right,4,3,4,High/Medium,Normal (170-185),Yes,151800000,#Crosser,"Long Ball Pass +, Dead Ball, Whipped Cross, Anticipate, Press Proven, Relentless",70,74,88,84,82,79,91,68,72,88,69,82,85,76,91,85,77,65,84,88,84,78,78,94,68,83,88,85,80,85,69,86,82,84,78,8,15,7,15,15,,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,84+3,86+3,86+3,86+3,84+3,83+3,81+3,81+3,81+3,83+3,21+3
194765,24,A. Griezmann,Antoine Griezmann,"ST, CF",88,88,74000000,135000,32,3/21/1991,176,73,240,Atlético Madrid,53,La Liga,1,RS,7,,10/10/2022,2026,18,France,1335,CAM,7,Left,3,4,5,High/High,Unique,Yes,151700000,"#Dribbler, #Engine, #Acrobat, #Clinical finisher, #Complete forward","Finesse Shot +, Chip Shot, Pinged Pass, Technical, Flair, Trivela, Acrobatic",80,88,87,88,58,75,82,90,85,89,85,88,89,85,86,89,80,80,89,90,84,85,85,86,69,87,74,57,90,88,79,89,45,63,60,14,8,14,13,14,,87+1,87+1,87+1,87,88,88,88,87,88,88,88,87+1,85+3,85+3,85+3,87+1,75+3,74+3,74+3,74+3,75+3,73+3,68+3,68+3,68+3,73+3,21+3
200389,24,J. Oblak,Jan Oblak,GK,88,88,61000000,90000,30,1/7/1993,188,87,240,Atlético Madrid,53,La Liga,1,GK,13,,7/16/2014,2028,44,Slovenia,,,,Right,3,1,4,Medium/Medium,Unique,Yes,125100000,,Far Throw,,,,,,,13,11,15,43,13,12,13,14,40,30,42,53,64,85,48,59,72,42,78,12,36,24,11,67,11,68,27,14,18,85,90,78,86,87,46,32+3,32+3,32+3,32,34,34,34,32,37+3,37+3,37+3,34+3,39+3,39+3,39+3,34+3,32+3,37+3,37+3,37+3,32+3,32+3,34+3,34+3,34+3,32+3,86+2
